transaction_id,product_id,customer_id,transaction_date,online_order,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
1,2,2950,2017-02-25,0,Solex,Standard,medium,medium,71.49,53.62,2012-12-04
2,3,3120,2017-05-21,1,Trek Bicycles,Standard,medium,large,2091.47,388.92,2014-03-05
3,37,402,2017-10-16,0,OHM Cycles,Standard,low,medium,1793.43,248.82,1999-07-22
4,88,3135,2017-08-31,0,Norco Bicycles,Standard,medium,medium,1198.46,381.1,1998-12-18
5,78,787,2017-10-01,1,Giant Bicycles,Standard,medium,large,1765.3,709.48,2015-08-12
6,25,2339,2017-03-08,1,Giant Bicycles,Road,medium,medium,1538.99,829.65,2006-11-12
7,22,1542,2017-04-21,1,WeareA2B,Standard,medium,medium,60.34,45.26,1993-07-17
8,15,2459,2017-07-15,0,WeareA2B,Standard,medium,medium,1292.84,13.44,2009-04-14
9,67,1305,2017-08-10,0,Solex,Standard,medium,large,1071.23,380.74,1991-08-07
10,12,3262,2017-08-30,1,WeareA2B,Standard,medium,medium,1231.15,161.6,2004-08-19
11,5,1986,2017-01-17,0,Trek Bicycles,Mountain,low,medium,574.64,459.71,2011-08-31
12,61,2783,2017-01-05,1,OHM Cycles,Standard,low,medium,71.16,56.93,2015-06-19
13,35,1243,2017-02-26,1,Trek Bicycles,Standard,low,medium,1057.51,154.4,1994-07-14
14,16,2717,2017-09-10,0,Norco Bicycles,Standard,high,small,1661.92,1479.11,1994-09-11
15,12,247,2017-06-11,0,Giant Bicycles,Standard,medium,large,1765.3,709.48,2004-07-27
16,3,2961,2017-10-10,0,Trek Bicycles,Standard,medium,large,2091.47,388.92,2003-09-11
17,79,2426,2017-04-03,0,Norco Bicycles,Standard,medium,medium,1555.58,818.01,2004-08-09
18,33,1842,2017-06-02,0,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1992-10-13
19,54,2268,2017-04-06,1,WeareA2B,Standard,medium,medium,1292.84,13.44,2009-04-14
20,25,3002,2017-01-28,1,Giant Bicycles,Road,medium,medium,1538.99,829.65,2002-03-24
21,27,1582,2017-10-09,0,Trek Bicycles,Standard,medium,medium,499.53,388.72,1999-06-25
22,37,595,2017-06-29,1,OHM Cycles,Standard,low,medium,1793.43,248.82,1999-07-22
23,37,2001,2017-04-08,1,OHM Cycles,Standard,low,medium,1793.43,248.82,2015-05-23
24,82,515,2017-10-18,0,Giant Bicycles,Road,medium,medium,1538.99,829.65,2016-02-06
25,89,2822,2017-06-11,0,WeareA2B,Touring,medium,large,1362.99,57.74,1993-04-22
26,64,2596,2017-01-10,0,Trek Bicycles,Standard,medium,large,1469.44,596.55,2015-05-23
27,64,2666,2017-04-11,1,Trek Bicycles,Standard,medium,large,1469.44,596.55,2012-05-20
28,19,76,2017-12-23,0,Trek Bicycles,Mountain,low,medium,574.64,459.71,2016-07-11
29,72,3368,2017-10-13,1,Norco Bicycles,Standard,medium,medium,360.4,270.3,2016-12-08
30,91,1173,2017-03-15,0,WeareA2B,Standard,low,medium,642.31,513.85,2014-10-12
31,88,2810,2017-09-05,1,Norco Bicycles,Standard,medium,medium,1198.46,381.1,2002-10-12
32,1,3214,2017-02-18,0,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2016-11-16
33,25,1272,2017-03-20,0,Giant Bicycles,Road,medium,medium,1538.99,829.65,2016-02-06
34,99,2003,2017-02-28,1,Trek Bicycles,Road,low,small,1720.7,1531.42,2006-10-03
35,0,2171,2017-08-20,0,Norco Bicycles,Road,medium,medium,544.05,376.84,2005-10-24
36,92,3356,2017-07-07,0,WeareA2B,Standard,medium,small,1415.01,1259.36,2003-09-12
37,14,1040,2017-01-09,0,Solex,Standard,high,large,1842.92,1105.75,1995-10-26
38,2,2916,2017-12-06,0,Solex,Standard,medium,medium,71.49,53.62,1991-11-09
39,12,427,2017-09-12,0,WeareA2B,Standard,medium,medium,1231.15,161.6,2005-12-09
40,0,2448,2017-11-28,1,Norco Bicycles,Road,medium,medium,544.05,376.84,2005-10-24
41,44,2570,2017-05-08,1,WeareA2B,Standard,medium,medium,1769.64,108.76,2003-02-18
