customer_id,score,segmentation,gender,job_title,job_industry_category,wealth_segment,owns_car,tenure,age_class,state,property_valuation
1,Diamond,Loyal,Female,Executive Secretary,Health,Mass Customer,Yes,11,70-79,NSW,10
2,Bronze,Slipping,Male,Administrative Officer,Financial Services,Mass Customer,Yes,16,40-49,NSW,10
4,Bronze,Dormant,Male,Recruiting Manager,IT,Mass Customer,No,7,60-69,QLD,9
5,Silver,Promising,Female,Senior Editor,IT,Affluent Customer,Yes,8,40-49,NSW,4
6,Silver,Whales,Male,Senior Editor,Retail,High Net Worth,Yes,13,50-59,VIC,9
7,Bronze,Dormant,Female,Senior Editor,Financial Services,Affluent Customer,Yes,11,40-49,NSW,9
8,Diamond,Best,Male,Media Manager I,Financial Services,Mass Customer,No,7,60-69,NSW,4
9,Bronze,Attention,Female,Business Systems Development Analyst,Argiculture,Affluent Customer,Yes,8,50-59,NSW,12
11,Silver,Whales,Male,Senior Quality Engineer,Property,Mass Customer,No,9,70-79,VIC,8
12,Silver,Loyal,Male,Nuclear Power Engineer,Manufacturing,Mass Customer,No,8,30-39,QLD,4
13,Diamond,Loyal,Male,Developer I,Financial Services,High Net Worth,Yes,8,60-69,VIC,6
14,Bronze,Slipping,Female,Account Executive,Financial Services,Affluent Customer,No,6,40-49,NSW,8
15,Bronze,Potential,Male,Junior Executive,Manufacturing,Mass Customer,No,1,20-29,NSW,9
16,Silver,Whales,Male,Media Manager IV,Manufacturing,Mass Customer,Yes,18,40-49,VIC,4
17,Silver,Promising,Male,Sales Associate,Manufacturing,Affluent Customer,Yes,15,60-69,VIC,9
18,Silver,Attention,Female,Professor,Manufacturing,Affluent Customer,No,11,50-59,NSW,12
19,Bronze,Slipping,Female,Geological Engineer,Manufacturing,High Net Worth,No,1,20-29,NSW,9
20,Bronze,Attention,Male,Project Manager,Manufacturing,Mass Customer,No,11,40-49,NSW,8
21,Diamond,Whales,Male,Safety Technician I,Manufacturing,Affluent Customer,Yes,16,40-49,NSW,7
24,Diamond,Best,Female,Research Assistant I,Argiculture,Mass Customer,Yes,15,40-49,NSW,10
25,Diamond,Best,Male,Accounting Assistant III,Financial Services,Mass Customer,Yes,21,40-49,QLD,3
